"Date","Price","Open","High","Low","Change %"
"12/31/2024","2.350","2.350","2.350","2.350","-0.59%"
"12/30/2024","2.364","2.355","2.380","2.342","-0.04%"
"12/27/2024","2.365","2.368","2.379","2.334","-0.76%"
"12/24/2024","2.383","0.000","0.000","0.000","0.38%"
"12/23/2024","2.374","2.365","2.386","2.348","1.03%"
"12/20/2024","2.350","2.358","2.430","2.336","-1.39%"
"12/19/2024","2.383","2.394","2.404","2.365","0.46%"
"12/18/2024","2.372","2.381","2.412","2.357","-1.20%"
"12/17/2024","2.401","2.407","2.422","2.370","0.00%"
"12/16/2024","2.401","2.440","2.440","2.383","0.25%"
"12/13/2024","2.395","2.387","2.439","2.376","1.27%"
"12/12/2024","2.365","2.354","2.397","2.315","-0.21%"
"12/11/2024","2.370","2.379","2.395","2.335","-0.46%"
"12/10/2024","2.381","2.378","2.407","2.346","-0.83%"
"12/09/2024","2.401","2.390","2.420","2.370","-0.87%"
"12/06/2024","2.422","2.417","2.447","2.396","1.00%"
"12/05/2024","2.398","2.386","2.431","2.362","0.76%"
"12/04/2024","2.380","2.381","2.419","2.361","0.55%"
"12/03/2024","2.367","2.362","2.391","2.339","0.81%"
"12/02/2024","2.348","2.368","2.390","2.332","-2.09%"
"11/29/2024","2.398","2.431","2.449","2.377","-1.60%"
"11/28/2024","2.437","2.465","2.490","2.406","-1.30%"
"11/27/2024","2.469","2.413","2.479","2.393","1.52%"
"11/26/2024","2.432","2.422","2.439","2.390","1.97%"
"11/25/2024","2.385","2.400","2.416","2.364","-0.58%"
"11/22/2024","2.399","2.489","2.506","2.340","-2.68%"